TOP500 Rank,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Power (kW),Energy Efficiency [GFlops/Watts],Processor Technology,Processor Speed (MHz),Operating System,Accelerator/Co-Processor,Processor Generation,System Family,Interconnect Family,Continent,source_year
170,Nvidia,United States,2020,Vendor,19840,17280.0,2356.0,2812.8,89.94,26.19524127,AMD Zen-2 (Rome),2250,Ubuntu 20.04.1 LTS,NVIDIA A100,AMD Rome,NVIDIA DGX,Infiniband,North America,2020
330,Preferred Networks,Japan,2020,Industry,1664,128.0,1652.9,3137.87,65.39,26.03919049,Intel Cascade lake,2400,Ubuntu Linux,Preferred Networks MN-Core,Xeon Platinum 82xx (Cascade Lake),Preferred Networks Cluster,Custom Interconnect,Asia,2020
7,Atos,Germany,2020,Research,449280,404352.0,44120.0,70980.0,1764.22,25.00821893,AMD Zen-2 (Rome),2800,CentOS,NVIDIA A100,AMD Rome,BullSequana,Infiniband,Europe,2020
146,Atos,France,2020,Vendor,23040,20736.0,2566.0,3847.22,105.76,24.26248109,AMD Zen-2 (Rome),2800,Linux,NVIDIA A100,AMD Rome,BullSequana,Infiniband,Europe,2020
5,Nvidia,United States,2020,Vendor,555520,483840.0,63460.0,79215.0,2646.0,23.98337113,AMD Zen-2 (Rome),2250,Ubuntu 20.04.1 LTS,NVIDIA A100,AMD Rome,NVIDIA DGX,Infiniband,North America,2020
239,Fujitsu,Japan,2019,Vendor,36864,,1999.5,2359.296,118.48,16.87626604,Fujitsu ARM,2000,Linux,,Fujitsu A64FX,Fujitsu Cluster,Proprietary Network,Asia,2020
29,IBM,United States,2019,Academic,130000,120000.0,8339.0,11032.032,512.08,16.28456491,Power,3450,RHEL 7.6,NVIDIA Volta GV100,IBM POWER9, IBM Power Systems,Infiniband,North America,2020
8,Dell EMC,Italy,2020,Industry,669760,582400.0,35450.0,51720.76,2252.17,15.74037484,Intel Cascade lake,2100,CentOS Linux 7,NVIDIA Tesla V100,Xeon Gold 62xx (Cascade Lake),Dell PowerEdge Cluster,Infiniband,Europe,2020
458,IBM,United States,2019,Academic,23040,20480.0,1464.0,1739.776,94.0,15.57446809,Power,2400,RHEL 7.6,NVIDIA Tesla V100 SXM2,IBM POWER9, IBM Power Systems,Infiniband,North America,2020
1,Fujitsu,Japan,2020,Research,7630848,,442010.0,537212.0,29899.23,15.41772515,Fujitsu ARM,2200,Red Hat Enterprise Linux,,Fujitsu A64FX,Fujitsu Cluster,Proprietary Network,Asia,2020
2,IBM,United States,2018,Research,2414592,2211840.0,148600.0,200794.88,10096.0,14.71870048,Power,3070,RHEL 7.4,NVIDIA Volta GV100,IBM POWER9, IBM Power Systems,Infiniband,North America,2020
11,IBM,Italy,2019,Academic,347776,316160.0,21640.0,29354.0,1476.0,14.66124661,Power,3000,RHEL 7.6,Nvidia Volta V100,IBM POWER9, IBM Power Systems,Infiniband,Europe,2020
18,IBM,France,2019,Industry,291024,270720.0,17860.0,25025.81,1367.0,13.06510607,Power,3450,RHEL 7.6,NVIDIA Volta GV100,IBM POWER9, IBM Power Systems,Infiniband,Europe,2020
456,Atos,United Kingdom,2020,Academic,42840,40320.0,1473.0,3931.2,113.0,13.03539823,Intel Broadwell,2200,Linux,NVIDIA Tesla V100 SXM2,Intel Xeon E5 (Broadwell),Nvidia DGX1-MaxQ,Infiniband,Europe,2020
3,IBM / NVIDIA / Mellanox,United States,2018,Research,1572480,1382400.0,94640.0,125712.0,7438.28,12.72337153,Power,3100,Red Hat Enterprise Linux,NVIDIA Volta GV100,IBM POWER9, IBM Power Systems,Infiniband,North America,2020
14,Fujitsu,Japan,2018,Research,391680,348160.0,19880.0,32576.63488,1649.25,12.05396392,Intel Skylake,2400,Linux,NVIDIA Tesla V100 SXM2,Xeon Gold,Fujitsu PRIMERGY,Infiniband,Asia,2020
66,Sugon,China,2018,Vendor,163840,131072.0,4325.0,6134.1696,380.0,11.38157895,X86_64,2000,CentOS,Deep Computing Processor,Hygon Dhyana,Sugon Cluster,Gigabit Ethernet,Asia,2020
28,Quanta Computer / Taiwan Fixed Network / ASUS Cloud,Taiwan,2018,Research,170352,161280.0,9000.0,15208.23,797.54,11.28470045,Intel Skylake,3000,CentOS,NVIDIA Tesla V100 SXM2,Xeon Gold,QCT QuantaGrid,Infiniband,Asia,2020
89,ACTION,Canada,2020,Academic,67584,61440.0,3371.0,5834.4,310.0,10.87419355,Intel Skylake,2100,CentOS,NVIDIA Tesla V100,Xeon Silver,Dell PowerEdge Cluster,Omnipath,North America,2020
474,Inspur,China,2018,Research,25232,24320.0,1411.0,2226.557,130.0,10.85384615,Intel Cascade lake,2700,Linux,NVIDIA Tesla V100,Xeon Gold 62xx (Cascade Lake),Inspur Cluster,Infiniband,Asia,2020
36,Nvidia,United Arab Emirates,2019,Industry,107568,103680.0,7257.0,9492.163,673.0,10.78306092,Intel Skylake,2700,Ubuntu Linux,NVIDIA Tesla V100,Xeon Platinum,NVIDIA DGX,Infiniband,Asia,2020
31,HPE,Japan,2017,Academic,135828,120736.0,8125.0,12127.069,792.08,10.25780224,Intel Broadwell,2400,SUSE Linux Enterprise Server 12 SP1,NVIDIA Tesla P100 NVLink,Intel Xeon E5 (Broadwell),HPE SGI 8600,Omnipath,Asia,2020
